[CRITICAL]2021-03-29 16:26:39,327: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:26:39,492: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:26:39,626: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:26:39,701: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=12436

[CRITICAL]2021-03-29 16:26:50,786: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:26:50,951: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:26:51,145: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:26:51,295: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:26:51,460: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:26:51,535: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=6388

[CRITICAL]2021-03-29 16:27:02,725: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:27:02,860: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:27:03,010: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:27:03,129: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:27:03,280: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:27:03,355: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=13508

[CRITICAL]2021-03-29 16:27:14,364: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:27:14,530: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:27:14,738: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:27:14,918: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:27:15,082: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:27:15,172: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=13392

[CRITICAL]2021-03-29 16:27:26,274: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:27:26,513: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:27:26,678: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
