[CRITICAL]2021-03-31 10:23:36,323: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13820

[CRITICAL]2021-03-31 10:25:58,929: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13672

[CRITICAL]2021-03-31 10:25:59,011: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13672

[CRITICAL]2021-03-31 10:25:59,080: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13672

[CRITICAL]2021-03-31 10:25:59,178: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13672

[CRITICAL]2021-03-31 10:25:59,246: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=13672

[CRITICAL]2021-03-31 10:25:59,279: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=13672

[CRITICAL]2021-03-31 10:26:09,958: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=12748

[CRITICAL]2021-03-31 10:26:10,114: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=12748

[CRITICAL]2021-03-31 10:26:10,254: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=12748

[CRITICAL]2021-03-31 10:26:10,441: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=12748

[CRITICAL]2021-03-31 10:26:10,643: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=12748

[CRITICAL]2021-03-31 10:26:10,737: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
